#      time  integrated_mags
#     [Myr]    [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]  [mag]
   240.0000    -5.13  -5.38  -5.29  -5.12  -5.10  -5.13  -4.04  -4.57  -5.19  -4.97  -4.73  -4.56  -4.52  -9.28  -7.65  -9.48  -7.88  -8.36
   977.0000    -4.07  -2.58  -3.24  -3.39  -3.68  -4.07  -1.52  -2.56  -3.61  -3.69  -3.64  -3.56  -3.54  -7.93  -6.55  -7.97  -0.42  -4.98
   188.0000    -5.18  -5.64  -5.50  -5.21  -5.17  -5.18  -4.29  -4.73  -5.28  -5.03  -4.78  -4.60  -4.55  -9.35  -7.70  -9.56  -8.20  -8.63
   499.0000    -4.56  -3.94  -4.15  -4.31  -4.39  -4.56  -2.69  -3.52  -4.43  -4.31  -4.15  -4.03  -4.01  -8.60  -7.06  -8.73  -5.17  -6.72
   540.0000    -4.53  -3.81  -4.07  -4.24  -4.34  -4.53  -2.58  -3.44  -4.37  -4.27  -4.11  -4.00  -3.98  -8.55  -7.03  -8.67  -4.75  -6.56
   294.0000    -4.93  -4.91  -4.90  -4.86  -4.87  -4.93  -3.59  -4.23  -4.95  -4.75  -4.53  -4.37  -4.34  -9.06  -7.45  -9.23  -7.15  -7.83
   440.0000    -4.58  -4.07  -4.24  -4.36  -4.43  -4.58  -2.81  -3.60  -4.48  -4.34  -4.17  -4.04  -4.02  -8.63  -7.08  -8.77  -5.60  -6.88
   645.0000    -4.46  -3.51  -3.87  -4.08  -4.22  -4.46  -2.32  -3.24  -4.23  -4.17  -4.04  -3.94  -3.92  -8.44  -6.95  -8.54  -3.56  -6.18
   231.0000    -5.11  -5.40  -5.29  -5.10  -5.07  -5.11  -4.05  -4.57  -5.17  -4.94  -4.71  -4.54  -4.49  -9.26  -7.62  -9.46  -7.94  -8.39
   903.0000    -4.16  -2.76  -3.37  -3.54  -3.80  -4.16  -1.68  -2.70  -3.75  -3.80  -3.73  -3.65  -3.63  -8.05  -6.64  -8.09  -0.97  -5.22
   531.0000    -4.58  -3.88  -4.13  -4.31  -4.40  -4.58  -2.65  -3.50  -4.43  -4.33  -4.17  -4.05  -4.03  -8.61  -7.08  -8.73  -4.87  -6.64
   986.0000    -4.09  -2.59  -3.26  -3.41  -3.70  -4.09  -1.53  -2.58  -3.63  -3.72  -3.66  -3.58  -3.57  -7.95  -6.57  -7.99  -0.40  -4.99
   917.0000    -4.15  -2.73  -3.35  -3.52  -3.79  -4.15  -1.65  -2.68  -3.73  -3.79  -3.72  -3.64  -3.62  -8.03  -6.63  -8.08  -0.86  -5.18
   521.0000    -4.54  -3.86  -4.10  -4.27  -4.36  -4.55  -2.62  -3.47  -4.40  -4.29  -4.13  -4.01  -3.99  -8.57  -7.04  -8.69  -4.91  -6.62
   465.0000    -4.56  -4.00  -4.19  -4.33  -4.41  -4.56  -2.75  -3.56  -4.45  -4.32  -4.15  -4.02  -4.00  -8.61  -7.06  -8.74  -5.42  -6.80
   267.0000    -5.07  -5.19  -5.14  -5.03  -5.02  -5.07  -3.86  -4.45  -5.11  -4.90  -4.67  -4.51  -4.46  -9.21  -7.59  -9.40  -7.57  -8.14
   466.0000    -4.56  -4.00  -4.19  -4.33  -4.41  -4.56  -2.75  -3.56  -4.45  -4.32  -4.15  -4.02  -4.00  -8.61  -7.06  -8.74  -5.41  -6.80
   564.0000    -4.47  -3.70  -3.98  -4.15  -4.26  -4.47  -2.48  -3.35  -4.29  -4.20  -4.06  -3.94  -3.93  -8.48  -6.97  -8.59  -4.49  -6.44
   885.0000    -4.16  -2.79  -3.38  -3.57  -3.82  -4.17  -1.70  -2.72  -3.77  -3.81  -3.74  -3.65  -3.64  -8.06  -6.65  -8.11  -1.11  -5.26
   868.0000    -4.19  -2.84  -3.42  -3.60  -3.85  -4.19  -1.74  -2.76  -3.80  -3.84  -3.77  -3.68  -3.66  -8.09  -6.67  -8.14  -1.24  -5.32
   157.0000    -5.14  -5.67  -5.51  -5.17  -5.13  -5.14  -4.31  -4.72  -5.24  -4.99  -4.74  -4.55  -4.50  -9.32  -7.66  -9.53  -8.27  -8.67
   534.0000    -4.58  -3.87  -4.12  -4.30  -4.40  -4.58  -2.64  -3.50  -4.43  -4.32  -4.17  -4.05  -4.03  -8.60  -7.08  -8.73  -4.82  -6.62
   848.0000    -4.20  -2.88  -3.44  -3.63  -3.87  -4.20  -1.78  -2.78  -3.83  -3.85  -3.77  -3.68  -3.67  -8.10  -6.68  -8.16  -1.44  -5.38
   445.0000    -4.60  -4.08  -4.26  -4.39  -4.46  -4.60  -2.83  -3.62  -4.50  -4.37  -4.19  -4.06  -4.04  -8.66  -7.10  -8.80  -5.60  -6.89
   280.0000    -5.00  -5.04  -5.01  -4.94  -4.94  -5.00  -3.72  -4.33  -5.03  -4.82  -4.60  -4.44  -4.40  -9.13  -7.51  -9.31  -7.35  -7.98
   697.0000    -4.44  -3.37  -3.79  -4.01  -4.18  -4.44  -2.20  -3.16  -4.18  -4.14  -4.02  -3.92  -3.91  -8.40  -6.93  -8.49  -2.89  -5.98
   805.0000    -4.27  -3.02  -3.54  -3.74  -3.96  -4.27  -1.90  -2.89  -3.93  -3.94  -3.85  -3.75  -3.74  -8.19  -6.76  -8.26  -1.81  -5.56
   744.0000    -4.32  -3.18  -3.64  -3.85  -4.03  -4.32  -2.03  -3.00  -4.02  -4.00  -3.89  -3.80  -3.78  -8.26  -6.80  -8.34  -2.45  -5.77
   750.0000    -4.32  -3.18  -3.64  -3.85  -4.04  -4.32  -2.03  -3.00  -4.03  -4.01  -3.90  -3.81  -3.79  -8.27  -6.81  -8.35  -2.38  -5.76
   551.0000    -4.52  -3.75  -4.03  -4.21  -4.32  -4.52  -2.53  -3.40  -4.35  -4.25  -4.11  -3.99  -3.98  -8.53  -7.02  -8.65  -4.55  -6.49
   745.0000    -4.32  -3.18  -3.64  -3.85  -4.04  -4.32  -2.03  -3.00  -4.02  -4.00  -3.90  -3.80  -3.79  -8.26  -6.81  -8.34  -2.44  -5.77
   909.0000    -4.17  -2.77  -3.38  -3.55  -3.82  -4.17  -1.68  -2.71  -3.76  -3.81  -3.75  -3.66  -3.65  -8.06  -6.66  -8.11  -0.95  -5.22
   646.0000    -4.46  -3.51  -3.87  -4.08  -4.22  -4.46  -2.32  -3.24  -4.23  -4.17  -4.04  -3.94  -3.92  -8.44  -6.96  -8.54  -3.54  -6.18
    25.0000    -5.97  -7.73  -7.24  -6.25  -6.12  -5.97  -6.27  -6.23  -6.28  -5.92  -5.60  -5.33  -5.23 -10.30  -8.51 -10.60 -10.89 -10.89
    38.0000    -5.72  -7.21  -6.79  -5.94  -5.84  -5.72  -5.77  -5.82  -5.98  -5.65  -5.34  -5.10  -5.01 -10.01  -8.26 -10.29 -10.25 -10.33
   831.0000    -4.26  -2.97  -3.52  -3.71  -3.94  -4.26  -1.86  -2.86  -3.91  -3.92  -3.84  -3.75  -3.74  -8.17  -6.75  -8.24  -1.59  -5.48
   657.0000    -4.45  -3.47  -3.85  -4.06  -4.20  -4.45  -2.29  -3.22  -4.21  -4.15  -4.03  -3.92  -3.91  -8.42  -6.94  -8.52  -3.40  -6.13
   821.0000    -4.29  -3.00  -3.54  -3.74  -3.97  -4.29  -1.89  -2.89  -3.94  -3.95  -3.86  -3.77  -3.76  -8.20  -6.77  -8.27  -1.67  -5.52
   938.0000    -4.11  -2.67  -3.30  -3.46  -3.74  -4.11  -1.59  -2.63  -3.68  -3.74  -3.68  -3.60  -3.58  -7.98  -6.59  -8.03  -0.71  -5.10
